SKU,ITEM_DESCRIPTION,DEPARTMENT,CATEGORY,SUBCATEGORY1,SUBCATEGORY2,BRAND,ITEM_WEIGHT,ITEM_UNIT_OF_MEASURE
42420,Ls Ad Turkey & Rice Small Bree,Dog,Food,S.P.Dry,Adult,Lifestage,2.0500,KG
49110,Wet Dog Mixed Bumper,Dog,Food,Prem.Wet,Adult,Harringtons,7.0000,KG
11293,Joll Macs Comp Beef,Dog,Food,Complete,Working,Jollyes Macs,15.1600,KG
16861,Chappie Original 412g,Dog,Food,Tins,Adult,Chappie,9.8000,KG
51374,Joint And Coat Dog Food Tins,Dog,Food,Tins,Adult,Butchers,5.4600,KG
52263,Adult Dog Gf Chicken,Dog,Food,S.P.Dry,Adult,Lifestage,12.1500,KG
52265,Adult Dog Gf Chicken,Dog,Food,S.P.Dry,Adult,Lifestage,8.1800,KG
52137,Art Gf Venison With Sweet P,Dog,Food,S.P.Dry,Adult,Lifestage,6.1700,KG
52725,Lifestage Puppy Variety,Dog,Food,Prem.Wet,Puppy/Jun.,Lifestage,0.4000,KG
42410,Ls Ad Lamb & Mint Pea Gf,Dog,Food,S.P.Dry,Adult,Lifestage,2.0600,KG
42414,Ls Salmon & Potato Grain Free,Dog,Food,S.P.Dry,Adult,Lifestage,2.0500,KG
52136,Art Gf Angus Beef With Sweet P,Dog,Food,S.P.Dry,Adult,Lifestage,6.1700,KG
52139,Art Gf Duck With Sweet P,Dog,Food,S.P.Dry,Adult,Lifestage,6.1700,KG
65480,Micro Fibre Towel 50 X 100cm,Dog,Accessory,Other,Na,R&R,,
66597,Rabbit Ears With Hair,Dog,Treat,Natural,Other,Paddock Farm,,
66599,Tripe Sticks,Dog,Treat,Natural,Other,Paddock Farm,,
66601,Lamb Trotters,Dog,Treat,Natural,Other,Paddock Farm,,
66603,Fish Flatties,Dog,Treat,Natural,Other,Paddock Farm,,
66607,Xl Cow Ears With Hair,Dog,Treat,Natural,Other,Naw,,
66609,Lamb Ears With Hair,Dog,Treat,Natural,Other,Naw,,
22047,Jollyes Clear Small Bags,Misc.,Other,Bags,Na,Jollyes,,
65495,Chicken Mince,Dog,Food,Frozen,Adult,Raw And Simple,1.5000,KG
62361,P@P Caged Ball Extra Large,Dog,Toys,Tpr,Other,R&R,1.0000,KG
